(Q-Qo)/mA.h	I/mA	time/s	Ecell/V	
2.147346275367398E+000	1.3609053E-001	5.681486069856095E+004	3.6716990E+000
2.149614416161477E+000	1.3609053E-001	5.687486070141080E+004	3.6720536E+000
2.151882555467941E+000	1.3608462E-001	5.693486070426065E+004	3.6725657E+000
2.154150691598099E+000	1.3608855E-001	5.699486070711049E+004	3.6728413E+000
2.156418823997908E+000	1.3608462E-001	5.705486070996034E+004	3.6732748E+000
2.158686955871747E+000	1.3608658E-001	5.711486071281019E+004	3.6737869E+000
2.160955085169400E+000	1.3608067E-001	5.717486071566003E+004	3.6741018E+000
2.163223212933127E+000	1.3608855E-001	5.723486071850988E+004	3.6743383E+000
2.165491334526075E+000	1.3608263E-001	5.729486072135973E+004	3.6746929E+000
2.167759450686740E+000	1.3608263E-001	5.735486072420958E+004	3.6749685E+000
2.170027571849931E+000	1.3609053E-001	5.741486072705942E+004	3.6750474E+000
2.172295689870268E+000	1.3608462E-001	5.747486072990927E+004	3.6751654E+000
2.174563806230798E+000	1.3608855E-001	5.753486073275912E+004	3.6753626E+000
2.176831923076121E+000	1.3609643E-001	5.759486073560896E+004	3.6754019E+000
2.179100043675850E+000	1.3608855E-001	5.765486073845881E+004	3.6756382E+000
2.181368163691494E+000	1.3608855E-001	5.771486074130866E+004	3.6756775E+000
2.183636282198537E+000	1.3608658E-001	5.777486074415850E+004	3.6759534E+000
2.185904399346180E+000	1.3608855E-001	5.783486074700835E+004	3.6760321E+000
2.188172516272987E+000	1.3607672E-001	5.789486074985820E+004	3.6762290E+000
2.190440637719714E+000	1.3608067E-001	5.795486075270805E+004	3.6764262E+000
2.192708759946567E+000	1.3609053E-001	5.801486075555789E+004	3.6765835E+000
2.194976886872012E+000	1.3608658E-001	5.807486075840774E+004	3.6767807E+000
2.197245011011023E+000	1.3609250E-001	5.813486076125759E+004	3.6770563E+000
2.199513137558351E+000	1.3608263E-001	5.819486076410743E+004	3.6772926E+000
2.201781266364513E+000	1.3608263E-001	5.825486076695728E+004	3.6774895E+000
